ticket_text,category,priority
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([LOCATION]-WSUS01) [COMPANY] [SERVER] -[LOCATION]Server - UP -> DOWN,Support general,High
LVS not respondingLVS will not except my password to let me log on. ,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Phone user message,Support general,Medium
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Java Installation on [SERVER],Software,Medium
Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Alteração de aprovador,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  813330  Company:    Department:  [ADDRESS]-[ADDRESS]:    ZIP:    City:    Country:    Office:       Important: Please set the EA10 to the following value: 13672 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 15 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - [NAME] Access,Fileservice,Medium
Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
File Share Access - [TICKET ID] - [NAME] ([COMPANY] [LOCATION]),Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Light User for external - [TICKET ID] - [NAME],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - merge mailgroup [EMAIL] with invoice-uk,O365,Medium
File Share Access - [TICKET ID] - [NAME] (EXTERNAL. [LOCATION]),Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  -[LOCATION]1.0 deactivation on [IP_ADDRESS] (DNS: [COMPANY].de / Netbios: [COMPANY]UP/[SERVER]) ,Support general,Medium
Recover File on Fileserver,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Create[LOCATION]entry [COMPANY]up.ads.dir  ,Support general,Medium
Emails undeliverableEmails sent to [EMAIL] mailto:[EMAIL] are not working.,O365,Medium
Acesso Admin no AD,Active Directory,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Outlook Verteiler [COMPANY] aktualisieren und [NAME] hinzufügen       Verteiler [COMPANY]-BS und [COMPANY] aktualisieren und [NAME] entfernen        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Abteilungswechsel!,Fileservice,Medium
Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad,Support general,Medium
Outllook - Senden im Auftrag von [EMAIL] nicht mehr möglich,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Problem sending emails to address [EMAIL].,O365,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - CREACIÓN DE CORREO [NAME],Active Directory,Medium
Initiated by GIT: Missing connection to all securitytools on system [SERVER],Software,Medium
Instalacion de carpeta J en Red,Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Access [EMAIL],O365,Medium
[TICKET ID] - New Support Ticket received  - Cannot access files,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Computer troubles,Support general,Medium
