ticket_text,category,priority,cleaned_text
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,file share access ticket company location
File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Technical Issue,Medium,file share access ticket company location
[TICKET ID] - A Support Ticket was forwarded to your role  - Leaving Employee - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),General Query,Medium,ticket support ticket forwarded role leaving employee ticket company location
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([LOCATION]-WSUS01) [COMPANY] [SERVER] -[LOCATION]Server - UP -> DOWN,General Query,High,ticket support ticket forwarded role check hostalarm location wsus company server location server
LVS not respondingLVS will not except my password to let me log on. ,Technical Issue,Medium,lvs respondinglvs password let log
[TICKET ID] - New Support Ticket received  - Phone user message,General Query,Medium,ticket new support ticket received phone user message
File Share Access - [TICKET ID] -Service Request: File Share Access     Grant access to file share for the following user:   (Username: )  Access Type: (RW) Read / Write  File Share:  J:/[COMPANY]/HR     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket service request file share access grant access file share following user username access type read write file share company requestor company location comment
Java Installation on [SERVER],Technical Issue,Medium,java installation server
Shared Mailbox Access - [TICKET ID] - [EMAIL],General Query,Medium,shared mailbox access ticket email
[TICKET ID] - A Support Ticket was forwarded to your role  - Alteração de aprovador,General Query,Medium,ticket support ticket forwarded role altera aprovador
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,file share access ticket company location
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),General Query,Medium,ticket new support ticket received basis user username company location
Basis User - [TICKET ID] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  813330  Company:    Department:  [ADDRESS]-[ADDRESS]:    ZIP:    City:    Country:    Office:       Important: Please set the EA10 to the following value: 13672 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 15 2019 12:00AM     Additional information:,General Query,Medium,basis user ticket service request basis user create windows account internal user firstname lastname cost center company department address address zip city country office important set following value leave blank create exchange skype account user needs following access permissions access software server requestor company location desired date jan additional information
[TICKET ID] - New Support Ticket received  - [NAME] Access,Technical Issue,Medium,ticket new support ticket received access
Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Technical Issue,Medium,remove file share access ticket company location
The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,Technical Issue,High,following set end life nexthink checked location reservations server automated ticket creation remove nexthink according location process verify location reservations exist yes remove reservations note corresponding inform company network team remove firewall rules
File Share Access - [TICKET ID] - [NAME] ([COMPANY] [LOCATION]),Technical Issue,Medium,file share access ticket company location
[TICKET ID] - New Support Ticket received  - Light User for external - [TICKET ID] - [NAME],General Query,Medium,ticket new support ticket received light user external ticket
[TICKET ID] - A Support Ticket was forwarded to your role  - merge mailgroup [EMAIL] with invoice-uk,Technical Issue,Medium,ticket support ticket forwarded role merge mailgroup email invoice
File Share Access - [TICKET ID] - [NAME] (EXTERNAL. [LOCATION]),Technical Issue,Medium,file share access ticket external location
[TICKET ID] - A Support Ticket was forwarded to your role  -[LOCATION]1.0 deactivation on [IP_ADDRESS] (DNS: [COMPANY].de / Netbios: [COMPANY]UP/[SERVER]) ,General Query,Medium,ticket support ticket forwarded role location deactivation address dns company netbios company server
Recover File on Fileserver,Technical Issue,Medium,recover file fileserver
[TICKET ID] - New Support Ticket received  - Create[LOCATION]entry [COMPANY]up.ads.dir  ,General Query,Medium,ticket new support ticket received create location entry company ads dir
Emails undeliverableEmails sent to [EMAIL] mailto:[EMAIL] are not working.,Technical Issue,Medium,emails undeliverableemails sent email mailto email working
Acesso Admin no AD,Account,Medium,acesso admin
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    Outlook Verteiler [COMPANY] aktualisieren und [NAME] hinzufügen       Verteiler [COMPANY]-BS und [COMPANY] aktualisieren und [NAME] entfernen        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  Abteilungswechsel!,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share outlook verteiler company aktualisieren und hinzuf gen verteiler company und company aktualisieren und entfernen requestor company location comment abteilungswechsel
